,academia,agrochemicalsUse,businessRisk,collabComms,communityHealth,companySize,costFFmaterials,employment,fieldExtraction,funding,govtPresence,greenConsumers,importRegulations,industryCustoms,industryImage,industrySustainability,industryTransparency,innovation,intInstability,laborProductivity,landAvailable,palProductsDemand,palValorization,pineappleProdProductivity,pineappleProdProfitability,pollution,rain,ranchersProductivity,soilFertil,stableFly,stubbleMgmtRegulation,unevenTerrain
academia,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
agrochemicalsUse,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0.0,0.0,0.0,0.0,0
businessRisk,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,-0.54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
collabComms,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
communityHealth,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.79,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
companySize,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.65,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,0.0,0.0,0.0,0.0,0
costFFmaterials,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.58,0.0,0.0,-0.5,0.0,0,0.0,0.0,0.0,0.0,0
employment,0.0,0.0,0.0,0.0,0.64,0,0.0,0.0,0.0,0.61,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
fieldExtraction,0.0,-0.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.61,0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
funding,0.67,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
govtPresence,0.0,0.0,0.0,0.67,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.69,0
greenConsumers,0.0,-0.53,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
importRegulations,0.0,-0.68,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
industryCustoms,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
industryImage,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.53,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
industrySustainability,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
industryTransparency,0.0,0.0,0.0,0.61,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
innovation,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.71,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.66,0.0,0.0,0.64,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
intInstability,0.0,0.0,0.0,0.0,0.0,0,0.57,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
laborProductivity,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.57,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
landAvailable,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0,0.0,0.0,0.0,0.0,0
palProductsDemand,0.0,0.0,-0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.64,0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
palValorization,0.0,-0.58,0.0,0.0,0.0,0,0.0,0.5,0.72,0.0,0,0,0,0.0,0.0,0.67,0,0.0,0,0.0,0.64,0.0,0.0,0.0,0.62,0.0,0,0.0,-0.37,-0.59,0.0,0
pineappleProdProductivity,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0,0.0,0.0,0.0,0.0,0
pineappleProdProfitability,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,-0.48,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
pollution,0.0,0.0,0.0,0.0,-0.74,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
rain,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.61,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
ranchersProductivity,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
soilFertil,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
stableFly,0.0,0.0,0.0,0.0,-0.76,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.71,0.0,0.0,0.0,0
stubbleMgmtRegulation,0.0,-0.49,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.59,0,0.67,0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0,0.0,0.0,-0.57,0.0,0
unevenTerrain,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.6,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
